field,object_id,redshift,num_filters
gru-00,gru-00_00008,8.439476,4
gru-00,gru-00_00013,1.890127,7
gru-00,gru-00_00014,2.464265,7
gru-00,gru-00_00016,1.671127,6
gru-00,gru-00_00018,2.347121,8
gru-00,gru-00_00023,1.078612,7
gru-00,gru-00_00027,0.000000,8
gru-00,gru-00_00029,0.318508,7
gru-00,gru-00_00030,1.898231,8
gru-00,gru-00_00031,7.365369,11
gru-00,gru-00_00033,1.898231,11
gru-00,gru-00_00034,0.000000,8
gru-00,gru-00_00035,1.898231,8
gru-00,gru-00_00041,2.764822,10
gru-00,gru-00_00051,1.731635,10
gru-00,gru-00_00065,2.981667,10
gru-00,gru-00_00075,4.378989,11
gru-00,gru-00_00078,2.270361,10
gru-00,gru-00_00080,0.107938,9
gru-00,gru-00_00081,4.808373,11
gru-00,gru-00_00083,2.045608,9
gru-00,gru-00_00088,4.759787,10
gru-00,gru-00_00089,4.778248,10
gru-00,gru-00_00090,7.351995,10
gru-00,gru-00_00091,7.024509,11
gru-00,gru-00_00092,3.117764,11
gru-00,gru-00_00097,0.115944,12
gru-00,gru-00_00100,1.658336,11
gru-00,gru-00_00109,0.138487,10
gru-00,gru-00_00110,0.000000,10
gru-00,gru-00_00111,3.129269,10
gru-00,gru-00_00112,0.104840,10
gru-00,gru-00_00114,1.886661,10
gru-00,gru-00_00121,2.937321,11
gru-00,gru-00_00122,3.160771,11
gru-00,gru-00_00125,4.353232,10
gru-00,gru-00_00127,3.659464,9
gru-00,gru-00_00140,2.752793,10
gru-00,gru-00_00142,2.228767,11
gru-00,gru-00_00147,1.899390,12
gru-00,gru-00_00153,2.387528,10
gru-00,gru-00_00154,0.000000,10
gru-00,gru-00_00161,1.683979,11
gru-00,gru-00_00162,1.539838,10
gru-00,gru-00_00164,1.690428,10
gru-00,gru-00_00170,0.487208,12
gru-00,gru-00_00171,0.333891,12
gru-00,gru-00_00177,1.677545,10
gru-00,gru-00_00178,0.000000,10
gru-00,gru-00_00179,2.581209,12
gru-00,gru-00_00182,2.232644,11
gru-00,gru-00_00183,0.600795,10
gru-00,gru-00_00187,3.719489,10
gru-00,gru-00_00189,3.824468,10
gru-00,gru-00_00190,0.473588,12
gru-00,gru-00_00191,1.486561,12
gru-00,gru-00_00192,1.912176,11
gru-00,gru-00_00193,0.920337,11
gru-00,gru-00_00194,2.386173,11
gru-00,gru-00_00195,0.288270,11
gru-00,gru-00_00196,0.000000,12
gru-00,gru-00_00197,1.904033,12
gru-00,gru-00_00203,1.928530,10
gru-00,gru-00_00208,1.008324,10
gru-00,gru-00_00212,4.096227,10
gru-00,gru-00_00216,3.923898,9
gru-00,gru-00_00219,7.439309,12
gru-00,gru-00_00221,4.878550,11
gru-00,gru-00_00227,1.664724,12
gru-00,gru-00_00232,1.135072,12
gru-00,gru-00_00236,0.354321,10
gru-00,gru-00_00237,1.421774,10
gru-00,gru-00_00238,4.857368,10
gru-00,gru-00_00244,0.000000,10
gru-00,gru-00_00249,1.992474,12
gru-00,gru-00_00253,0.623364,12
gru-00,gru-00_00259,2.527186,11
gru-00,gru-00_00263,0.488994,11
gru-00,gru-00_00267,2.125832,12
gru-00,gru-00_00269,1.558191,12
gru-00,gru-00_00273,3.232956,10
gru-00,gru-00_00290,6.530041,12
gru-00,gru-00_00291,2.837805,12
gru-00,gru-00_00293,0.203580,10
gru-00,gru-00_00294,1.470697,10
gru-00,gru-00_00295,4.920971,10
gru-00,gru-00_00298,7.500292,12
gru-00,gru-00_00305,4.531729,12
gru-00,gru-00_00306,1.462804,12
gru-00,gru-00_00307,0.000000,12
gru-00,gru-00_00309,2.050485,11
gru-00,gru-00_00312,2.174977,9
