object_id	object_name	band_count	observation_date	redshift
uma-03_08154	uma-03_08154	6		1.59737
uma-03_03763	uma-03_03763	6		4.8832
uma-03_05325	uma-03_05325	6		3.39514
uma-03_03917	uma-03_03917	8		1.98769
uma-03_13797	uma-03_13797	6		1.2908
uma-03_04365	uma-03_04365	8		4.85268
uma-03_02379	uma-03_02379	7		1.49154
uma-03_06833	uma-03_06833	8		9.85364
uma-03_04056	uma-03_04056	8		3.45355
uma-03_02624	uma-03_02624	6		2.20689
uma-03_16420	uma-03_16420	6		0.98836
uma-03_04404	uma-03_04404	7		2.1661
outthere-hudfn_04375	outthere-hudfn_04375	7		2.2752
uma-03_09395	uma-03_09395	6		3.12762
uma-03_05961	uma-03_05961	7		2.26513
uma-03_08325	uma-03_08325	6		2.11214
uma-03_09164	uma-03_09164	6		0.493169
uma-03_04668	uma-03_04668	7		1.86939
uma-03_05858	uma-03_05858	7		2.26644
uma-03_03269	uma-03_03269	8		2.29136
uma-03_02122	uma-03_02122	7		1.42859
uma-03_02484	uma-03_02484	8		0.538027
uma-03_09452	uma-03_09452	6		1.04562
